,date,sentimentScore
1199,2017-04-14,-1.568542911827424
1200,2017-04-15,-1.5952647598433392
1201,2017-04-16,-1.7000592573228994
1202,2017-04-17,-1.6791317980642104
1203,2017-04-18,-1.8033941539036669
1204,2017-04-19,-2.032728256317608
1205,2017-04-20,-2.045417207312855
1206,2017-04-21,-2.0103956329936583
1207,2017-04-22,-1.6059539964156266
1208,2017-04-23,-1.643099182359365
1209,2017-04-24,-1.668889493406336
1210,2017-04-25,-1.5892411534787683
1211,2017-04-26,-1.5234387621936085
1212,2017-04-27,-1.5785458956625977
1213,2017-04-28,-1.5714147484016556
1214,2017-04-29,-1.508662920637
1215,2017-04-30,-1.601190337632422
1216,2017-05-01,-1.5429262128287964
1217,2017-05-02,-1.4481905233468468
1218,2017-05-03,-1.5144042365010972
1219,2017-05-04,-1.3853178246348739
1220,2017-05-05,-1.4776700321984226
1221,2017-05-06,-1.371387302942981
1222,2017-05-07,-1.465781462912323
1223,2017-05-08,-1.3878125294937114
1224,2017-05-09,-1.423230233263153
1225,2017-05-10,-1.3894675227426987
1226,2017-05-11,-1.3988414010492969
1227,2017-05-12,-1.4108690090172413
1228,2017-05-13,-1.401464755836805
1229,2017-05-14,-1.3401355080368724
1230,2017-05-15,-1.3587691456106905
1231,2017-05-16,-1.4912626638820978
1232,2017-05-17,-1.37768431907393
1233,2017-05-18,-1.3927988819914314
1234,2017-05-19,-1.333724196201593
1235,2017-05-20,-1.332066456519258
1236,2017-05-21,-1.2975553463158425
1237,2017-05-22,-1.2633848301204065
1238,2017-05-23,-1.1113711837864872
1239,2017-05-24,-1.1188197222745548
1240,2017-05-25,-1.099416352322344
1241,2017-05-26,-1.137751569689466
1242,2017-05-27,-1.143461197464213
1243,2017-05-28,-1.2575193573487984
1244,2017-05-29,-1.5852132602885287
1245,2017-05-30,-1.2119993610242021
1246,2017-05-31,-1.194017074204219
1247,2017-06-01,-1.0506481232415608
1248,2017-06-02,-1.0910071537423658
1249,2017-06-03,-1.036829924109173
1250,2017-06-04,-1.1800788428668376
1251,2017-06-05,-1.0828249286846865
1252,2017-06-06,-0.9665405955145087
1253,2017-06-07,-0.867075130566095
1254,2017-06-08,-1.0111256898747332
1255,2017-06-09,-1.0816613281510936
1256,2017-06-10,-1.030849344102239
1257,2017-06-11,-1.0371136758404311
1258,2017-06-12,-0.8649431154352142
1259,2017-06-13,-0.8130038155306861
1260,2017-06-14,-0.8296543006047009
1261,2017-06-15,-0.8151298374550495
1262,2017-06-16,-0.9533210018190085
1263,2017-06-17,-1.04429363793152
1264,2017-06-18,-1.1217956182317905
1265,2017-06-19,-1.0256140851777835
1266,2017-06-20,-0.9702484258521581
1267,2017-06-21,-0.9705362444597516
1268,2017-06-22,-0.9297044378777662
1269,2017-06-23,-0.9744565377774383
1270,2017-06-24,-1.0376844575504334
1271,2017-06-25,-1.414846495364588
1272,2017-06-26,-1.1952487531569378
1273,2017-06-27,-1.2421428670692038
1274,2017-06-28,-1.2230920313266471
1275,2017-06-29,-1.3643898014925084
1276,2017-06-30,-1.3208698478143968
1277,2017-07-01,-1.5991775896270768
1278,2017-07-02,-1.6381600312407247
1279,2017-07-03,-1.5899831614583708
1280,2017-07-04,-1.5514288802735194
1281,2017-07-05,-1.6164574873180428
1282,2017-07-06,-1.5987036915911437
1283,2017-07-07,-1.5007243048385768
1284,2017-07-08,-1.6240705396219488
1285,2017-07-09,-1.65787402049058
1286,2017-07-10,-1.4983214931411528
1287,2017-07-11,-1.4788289843104832
1288,2017-07-12,-1.548293494548889
1289,2017-07-13,-1.3110706206875913
1290,2017-07-14,-1.3348060106445596
1291,2017-07-15,-1.3524385215921497
1292,2017-07-16,-1.3797370472124673
1293,2017-07-17,-1.389254040864742
1294,2017-07-18,-1.2390988901557214
1295,2017-07-19,-1.2262340934457805
1296,2017-07-20,-1.209399094870976
1297,2017-07-21,-1.2492086093335177
1298,2017-07-22,-1.3211872668708156
1299,2017-07-23,-1.3789897329157592
1300,2017-07-24,-1.2839041855155797
1301,2017-07-25,-1.2480314237364651
1302,2017-07-26,-1.203631236380388
1303,2017-07-27,-1.2292700193039667
1304,2017-07-28,-1.2201436243370012
1305,2017-07-29,-1.2529019485472874
1306,2017-07-30,-1.3617859555801786
1307,2017-07-31,-1.148147248410191
1308,2017-08-01,-1.3025279850708182
1309,2017-08-02,-1.2275012566677252
1310,2017-08-03,-1.2835613908330445
1311,2017-08-04,-1.2038197611414854
1312,2017-08-05,-1.197765646746246
1313,2017-08-06,-1.2490543939844014
1314,2017-08-07,-1.1940894561269257
1315,2017-08-08,-1.0226769714216022
1316,2017-08-09,-1.075186379688919
1317,2017-08-10,-1.0635869293289226
1318,2017-08-11,-1.053971260031299
1319,2017-08-12,-1.0518625624400852
1320,2017-08-13,-1.035883323865066
1321,2017-08-14,-0.9834882386408185
1322,2017-08-15,-0.7834791184997617
1323,2017-08-16,-0.8495977906102498
1324,2017-08-17,-0.75775654844319
1325,2017-08-18,-0.7790263137583878
1326,2017-08-19,-0.8831393712549077
1327,2017-08-20,-1.0349107712173207
1328,2017-08-21,-0.978211745266586
1329,2017-08-22,-1.0649599511221615
1330,2017-08-23,-0.7632996305760857
1331,2017-08-24,-0.9808181300948047
1332,2017-08-25,-0.9246881570946602
1333,2017-08-26,-0.9769990402133921
1334,2017-08-27,-0.9399143197129162
1335,2017-08-28,-0.9995557479626102
1336,2017-08-29,-0.8655644988355585
1337,2017-08-30,-0.7607501185938133
1338,2017-08-31,-0.8334528023864528
1339,2017-09-01,-0.8284799858336828
1340,2017-09-02,-0.8486616869528574
1341,2017-09-03,-1.0796584787433205
1342,2017-09-04,-0.865041559825435
1343,2017-09-05,-0.7395559391244626
1344,2017-09-06,-0.6941921150813485
1345,2017-09-07,-0.8781837622538645
1346,2017-09-08,-0.9005483609876194
1347,2017-09-09,-1.016092036205161
1348,2017-09-10,-1.1078981624505866
1349,2017-09-11,-1.0150011966399353
1350,2017-09-12,-0.9328952116732626
1351,2017-09-13,-0.9422031960026955
1352,2017-09-14,-0.849119875662703
1353,2017-09-15,-0.700687655475801
1354,2017-09-16,-0.8574477091931904
1355,2017-09-17,-1.0814687390363502
1356,2017-09-18,-1.0217667195594127
1357,2017-09-19,-1.1256756044741076
1358,2017-09-20,-0.9504555446572805
1359,2017-09-21,-0.9407985565717827
1360,2017-09-22,-1.03998313342148
1361,2017-09-23,-1.1004725679803027
1362,2017-09-24,-1.1779113105353383
1363,2017-09-25,-1.0673374618599332
1364,2017-09-26,-0.8956537023713229
1365,2017-09-27,-0.9759195143107763
1366,2017-09-28,-0.8606644247981214
1367,2017-09-29,-0.8258183292483409
1368,2017-09-30,-0.9001604652886812
1369,2017-10-01,-1.0674782823029638
1370,2017-10-02,-0.863967776087167
1371,2017-10-03,-0.8547123988076806
1372,2017-10-04,-0.9746029571857562
1373,2017-10-05,-0.8693949231844177
1374,2017-10-06,-0.878143905477668
1375,2017-10-07,-0.9400144397731743
1376,2017-10-08,-0.8210921934188881
1377,2017-10-09,-0.8284344870726283
1378,2017-10-10,-0.7262426687809098
1379,2017-10-11,-0.7251238110552161
1380,2017-10-12,-0.7419905246657098
1381,2017-10-13,-0.4562801073834856
1382,2017-10-14,-0.4552581545626804
1383,2017-10-15,-0.5543940269317897
1384,2017-10-16,-0.37655155587698497
1385,2017-10-17,-0.4369710615332021
1386,2017-10-18,-0.4770329381641494
1387,2017-10-19,-0.49931839545043094
1388,2017-10-20,-0.42315686600464364
1389,2017-10-21,-0.4248130583516614
1390,2017-10-22,-0.48396061982052774
1391,2017-10-23,-0.4492589864404248
1392,2017-10-24,-0.2575987286651553
1393,2017-10-25,-0.39898465902722796
1394,2017-10-26,-0.471738290199689
1395,2017-10-27,-0.6116369293767292
1396,2017-10-28,-1.1888180049838197
1397,2017-10-29,-1.28397711067248
1398,2017-10-30,-1.2244995862359904
1399,2017-10-31,-1.015498875366873
1400,2017-11-01,-0.8116462390735716
1401,2017-11-02,-0.7617828775914448
1402,2017-11-03,-0.7464839827649223
1403,2017-11-04,-0.8220378165019853
1404,2017-11-05,-0.6578632633150511
1405,2017-11-06,-0.7336962221423903
1406,2017-11-07,-0.26945741050528194
1407,2017-11-08,-0.24181615593456143
1408,2017-11-09,-0.0846942064685323
1409,2017-11-10,-0.3391731626171985
1410,2017-11-11,-0.4769994827607879
1411,2017-11-12,-0.559585847939158
1412,2017-11-13,-0.33160432108279275
1413,2017-11-14,-0.2874739046006946
1414,2017-11-15,-0.3330936804355629
1415,2017-11-16,-0.702052317729238
1416,2017-11-17,-0.07978566180952659
1417,2017-11-18,-0.23003543548611805
1418,2017-11-19,-0.26661542356023354
1419,2017-11-20,-0.042191675203209864
1420,2017-11-21,0.08835418830605454
1421,2017-11-22,-0.12210421015136755
1422,2017-11-23,-0.04382828816370988
1423,2017-11-24,-0.17237593023123512
1424,2017-11-25,-0.1556668358084614
1425,2017-11-26,-0.13260933730007593
1426,2017-11-27,0.08005639464012297
1427,2017-11-28,0.29277989072650856
1428,2017-11-29,0.5510813162539919
1429,2017-11-30,0.5980266258791125
1430,2017-12-01,0.9801545783031553
1431,2017-12-02,0.8118013206326153
1432,2017-12-03,0.8075661108081579
1433,2017-12-04,0.986697196700359
1434,2017-12-05,1.1822027522008132
1435,2017-12-06,1.663867752114842
1436,2017-12-07,2.223150119026496
1437,2017-12-08,2.758757971660126
1438,2017-12-09,2.4026860460959676
1439,2017-12-10,2.169040019799176
1440,2017-12-11,2.2741662951762813
1441,2017-12-12,3.4538368136265727
1442,2017-12-13,3.619277991274251
1443,2017-12-14,3.392419271693816
